trial ugf_Hz pm_deg adc_dB
61 1.31256E+08 89.1958 91.9278
62 1.28056E+08 89.2172 91.9278
63 1.33493E+08 89.2417 91.9277
64 1.31345E+08 89.2165 91.9278
65 1.32538E+08 89.2087 91.9277
66 1.30527E+08 89.205 91.9278
67 1.32065E+08 89.2064 91.9277
68 1.20499E+08 89.2157 91.9279
69 1.292E+08 89.2148 91.9278
70 1.21422E+08 89.1836 91.9279
71 1.31955E+08 89.1916 91.9278
72 1.27398E+08 89.2117 91.9278
73 1.30694E+08 89.1717 91.9278
74 1.25328E+08 89.2278 91.9278
75 1.30622E+08 89.196 91.9278
76 1.32268E+08 89.2178 91.9277
77 1.33379E+08 89.2131 91.9277
78 1.30216E+08 89.2018 91.9278
79 1.32894E+08 89.2027 91.9277
80 1.23534E+08 89.2284 91.9278
81 1.29797E+08 89.2066 91.9278
82 1.29023E+08 89.1995 91.9278
83 1.28348E+08 89.187 91.9278
84 1.32802E+08 89.195 91.9277
85 1.23519E+08 89.1729 91.9278
86 1.30639E+08 89.2151 91.9278
87 1.28865E+08 89.1985 91.9278
88 1.2576E+08 89.1697 91.9278
89 1.29636E+08 89.2148 91.9278
90 1.30571E+08 89.2168 91.9277
91 1.30843E+08 89.2191 91.9277
92 1.33186E+08 89.2021 91.9277
93 1.29372E+08 89.2203 91.9278
94 1.30318E+08 89.2115 91.9278
95 1.25608E+08 89.2174 91.9278
96 1.33429E+08 89.1984 91.9277
97 1.28395E+08 89.2122 91.9278
98 1.2949E+08 89.1788 91.9278
99 1.30635E+08 89.1577 91.9278
100 1.26643E+08 89.1814 91.9278
101 1.24897E+08 89.2233 91.9278
102 1.23534E+08 89.185 91.9278
103 1.3349E+08 89.2142 91.9277
104 1.33108E+08 89.2458 91.9277
105 1.26824E+08 89.1942 91.9278
106 1.27674E+08 89.2202 91.9278
107 1.26626E+08 89.1742 91.9278
108 1.27855E+08 89.1928 91.9278
109 1.24007E+08 89.2212 91.9278
110 1.30109E+08 89.2108 91.9277
111 1.26754E+08 89.2355 91.9278
112 1.29347E+08 89.1912 91.9278
113 1.30743E+08 89.1868 91.9278
114 1.23115E+08 89.2146 91.9278
115 1.30197E+08 89.1644 91.9278
116 1.32379E+08 89.2156 91.9277
117 1.31978E+08 89.2223 91.9277
118 1.29317E+08 89.1919 91.9278
119 1.29755E+08 89.177 91.9278
120 1.29175E+08 89.2077 91.9278
