 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device        m.xdut.xm13.m0        m.xdut.xm18.m0        m.xdut.xm12.m0
      model            nmos_3p3.9            nmos_3p3.9            nmos_3p3.9
        cgg           9.01984e-15           1.01919e-14           1.01919e-14
        cgs          -7.81302e-15          -7.10926e-15          -7.10926e-15
        cgd           -1.2511e-18          -2.24295e-15          -2.24295e-15
        cbg          -1.57294e-15           -7.3003e-16           -7.3003e-16
        cbd          -1.01148e-18          -1.61313e-15          -1.61313e-15
        cbs          -3.36284e-15          -2.95519e-15          -2.95519e-15
        cdg          -2.98021e-15          -4.46775e-15          -4.46775e-15
        cdd           2.09854e-18           2.82693e-15           2.82693e-15
        cds           4.47149e-15           3.67252e-15           3.67252e-15
        csg          -4.46669e-15          -4.99408e-15          -4.99408e-15
        csd           1.64031e-19           1.02915e-15           1.02915e-15
        css           6.70436e-15           6.39193e-15           6.39193e-15
        cgb          -1.20557e-15          -8.39658e-16          -8.39658e-16
        cdb          -1.49338e-15           -2.0317e-15           -2.0317e-15
        csb          -2.23783e-15          -2.42699e-15          -2.42699e-15
        cbb           4.93678e-15           5.29835e-15           5.29835e-15
      capbd             1.445e-15           1.72239e-15           1.72239e-15
      capbs             1.314e-15             1.314e-15             1.314e-15
         qg           1.78996e-14           1.81816e-14           1.81816e-14
         qb          -1.10386e-14          -1.08357e-14          -1.08357e-14
         qd          -2.74514e-15          -3.11064e-15          -3.11064e-15
         qs          -4.11587e-15          -4.23522e-15          -4.23522e-15
       qinv           6.02526e-15           6.31308e-15           6.31308e-15
       qdef                    -0                    -0                    -0
       gcrg                     0                     0                     0
       gtau                     0                     0                     0
    vgsteff              0.783545              0.783415              0.783415
     vdseff              0.623293              0.389457              0.389457
       cgso           7.19753e-16           7.19753e-16           7.19753e-16
       cgdo           6.97736e-16           7.19704e-16           7.19704e-16
       cgbo              7.28e-20              7.28e-20              7.28e-20
       weff              4.01e-06              4.01e-06              4.01e-06
       leff              7.12e-07              7.12e-07              7.12e-07

 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device         m.xdut.xm3.m0         m.xdut.xm4.m0         m.xdut.xm5.m0
      model            pmos_3p3.9            pmos_3p3.9            pmos_3p3.9
          l                 7e-07                 7e-07                 7e-07
          w                 4e-06                 4e-06                 4e-06
          m                     1                     1                     1
         nf                     1                     1                     1
         sa                     0                     0                     0
         sb                     0                     0                     0
         sd                     0                     0                     0
        sca                     0                     0                     0
        scb                     0                     0                     0
        scc                     0                     0                     0
         sc                     0                     0                     0
        min                     0                     0                     0
         ad                     0                     0                     0
         as                     0                     0                     0
         pd                     0                     0                     0
         ps                     0                     0                     0
        nrd                     0                     0                     0
        nrs                     0                     0                     0
        off                     0                     0                     0
       rbdb                    50                    50                    50
       rbsb                    50                    50                    50
       rbpb                    50                    50                    50
       rbps                    50                    50                    50
       rbpd                    50                    50                    50
     delvto                     0                    -0                    -0
      mulu0                     1                     1                     1
        xgw                     0                     0                     0
      ngcon                     1                     1                     1
   trnqsmod                     0                     0                     0
   acnqsmod                     0                     0                     0
   rbodymod                     0                     0                     0
   rgatemod                     0                     0                     0
     geomod                     0                     0                     0
    rgeomod                     0                     0                     0
       gmbs           5.54294e-05           4.47621e-05           4.72133e-05
         gm           0.000114964           8.91355e-05           9.77181e-05
        gds           8.49745e-07           2.61493e-05           8.08088e-07
      vdsat              0.629134              0.629014              0.525418
        vth               0.90712              0.907282              0.907179
         id           5.04234e-05           4.55531e-05           3.51142e-05
        ibd          -2.14716e-12          -5.42406e-13          -1.56722e-12
        ibs                     0                     0                     0
        gbd                 1e-12                 1e-12                 1e-12
        gbs           1.38664e-12           1.38664e-12           1.38664e-12
       isub           1.79444e-13           1.42127e-19           3.06521e-18
      igidl           1.85304e-53                     0                     0
      igisl                     0                     0                     0
        igs                     0                     0                     0
        igd                     0                     0                     0
        igb                     0                     0                     0
       igcs                     0                     0                     0
       igcd                     0                     0                     0
        vbs                    -0                    -0                    -0
        vgs               1.69654               1.69654               1.55722
        vds               2.13716              0.532406               1.55722
        cgg           9.01874e-15           9.51236e-15           8.98949e-15
        cgs          -7.81225e-15          -7.64918e-15          -7.69377e-15
        cgd          -1.94722e-19          -8.46882e-16           -1.2492e-18
