 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xdut.xm13.msky130_f m.xdut.xm18.msky130_f m.xdut.xm12.msky130_f
      model xdut.xm13:sky130_fd_p xdut.xm18:sky130_fd_p xdut.xm12:sky130_fd_p
          l                 5e-07                 5e-07                 5e-07
        gbs            1.0269e-11            1.0269e-11            1.0269e-11
       isub           9.21128e-13           2.64722e-13           2.64722e-13
      igidl                     0                     0                     0
      igisl                     0                     0                     0
        igs                     0                     0                     0
        igd                     0                     0                     0
        igb                     0                     0                     0
       igcs                     0                     0                     0
       igcd                     0                     0                     0
        vbs           1.85068e-11           1.49538e-11           1.49538e-11
        vgs               1.24027               1.24027               1.24027
        vds               1.24027                1.1201                1.1201
        cgg           1.65909e-13           1.65919e-13           1.65919e-13
        cgs          -1.53425e-13          -1.53456e-13          -1.53456e-13
        cgd          -6.51447e-18           -1.4156e-17           -1.4156e-17
        cbg          -2.85957e-14          -2.85894e-14          -2.85894e-14
        cbd          -7.88771e-18          -1.19935e-17          -1.19935e-17
        cbs           -2.2652e-14          -2.26607e-14          -2.26607e-14
        cdg          -5.49495e-14          -5.49635e-14          -5.49635e-14
        cdd           1.68922e-17           2.61998e-17           2.61998e-17
        cds           7.04525e-14           7.04734e-14           7.04734e-14
        csg          -8.23636e-14          -8.23665e-14          -8.23665e-14
        csd          -2.49006e-18          -5.02598e-20          -5.02598e-20
        css           1.05625e-13           1.05643e-13           1.05643e-13
        cgb          -1.24772e-14          -1.24492e-14          -1.24492e-14
        cdb          -1.55199e-14          -1.55361e-14          -1.55361e-14
        csb          -2.32586e-14          -2.32769e-14          -2.32769e-14
        cbb           5.12557e-14           5.12622e-14           5.12622e-14
      capbd           4.52748e-15           4.72471e-15           4.72471e-15
      capbs           4.73702e-15           4.73702e-15           4.73702e-15
         qg           1.44364e-13           1.44365e-13           1.44365e-13
         qb          -9.84708e-14          -9.84696e-14          -9.84696e-14
         qd          -1.83634e-14           -1.8366e-14           -1.8366e-14
         qs          -2.75299e-14          -2.75297e-14          -2.75297e-14
       qinv                     0                     0                     0
       qdef                    -0                    -0                    -0
       gcrg                     0                     0                     0
       gtau                     0                     0                     0
    vgsteff              0.201986              0.201975              0.201975
     vdseff              0.202407              0.202146              0.202146
       cgso           2.65073e-15           2.65073e-15           2.65073e-15
       cgdo           2.60701e-15           2.63094e-15           2.63094e-15
       cgbo                     0                     0                     0
       weff           3.94035e-06           3.94035e-06           3.94035e-06
       leff           1.05224e-06           1.05224e-06           1.05224e-06

 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xdut.xm3.msky130_fd m.xdut.xm4.msky130_fd m.xdut.xm8.msky130_fd
      model xdut.xm3:sky130_fd_pr xdut.xm4:sky130_fd_pr xdut.xm8:sky130_fd_pr
          l                 1e-06                 1e-06                 5e-07
          w                 4e-06                 4e-06                 2e-05
          m                     8                    32                     8
         nf                     1                     1                     1
         sa                     0                     0                     0
         sb                     0                     0                     0
         sd                     0                     0                     0
        sca                     0                     0                     0
        scb                     0                     0                     0
        scc                     0                     0                     0
         sc                     0                     0                     0
        min                     0                     0                     0
         ad                     0                     0                     0
         as                     0                     0                     0
         pd                     0                     0                     0
         ps                     0                     0                     0
        nrd                     0                     0                     0
        nrs                     0                     0                     0
        off                     0                     0                     0
       rbdb                    50                    50                    50
