Full ngspice MC: n=10,000 workers=16
  pnp_l1: 10000/10000  112.9/s  ETA 0.0 min
Wrote:
  D:\proj\voltage_reference_expt\models\plots\mos_id_vgs_mc.png
  D:\proj\voltage_reference_expt\models\plots\mc_nmos_rvt_id_vgs.png
  D:\proj\voltage_reference_expt\models\plots\mc_nmos_nat_id_vgs.png
  D:\proj\voltage_reference_expt\models\plots\mc_nmos_hvt_id_vgs.png
  D:\proj\voltage_reference_expt\models\plots\mc_nmos_tox_id_vgs.png
  D:\proj\voltage_reference_expt\models\plots\mc_pmos_rvt_id_vgs.png
  D:\proj\voltage_reference_expt\models\plots\mc_pmos_hvt_id_vgs.png
  D:\proj\voltage_reference_expt\models\plots\mc_pmos_tox_id_vgs.png
  D:\proj\voltage_reference_expt\models\plots\bjt_ic_vbe_mc.png
  D:\proj\voltage_reference_expt\models\plots\mc_npn_l1_ic_vbe.png
  D:\proj\voltage_reference_expt\models\plots\mc_pnp_l1_ic_vbe.png
EXIT:0
